Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability
German,PostDoc,forderung,73,20,47,6,0.3639863428902136,0.4764336766547536,0.15957998318521124
German,PostDoc,forscher,57,20,34,3,0.4117310253674524,0.4647622641764189,0.12350671552121635
German,PostDoc,forschung,424,107,279,38,0.33185319118377454,0.5127990448864985,0.155347764509607
German,PostDoc,frage,164,58,98,8,0.40481665825880153,0.5113156748163264,0.08386766584590073
German,PostDoc,frau,66,30,31,5,0.4324827945198525,0.4134612361138517,0.1540559720332649
German,PostDoc,gedanke,54,18,22,14,0.34006516021434907,0.3714031587458319,0.28853168655876754
German,PostDoc,geld,142,74,65,3,0.4783427493620506,0.4186538242223397,0.10300342869800577
German,PostDoc,geschichte,61,17,38,6,0.33013938318510516,0.5046994325201042,0.1651611813481469
German,PostDoc,gesellschaft,79,36,39,4,0.44605541804546045,0.4215089536826067,0.13243563098337827
German,PostDoc,gesetz,77,29,44,4,0.4500008070139916,0.44373772624734936,0.10626146584362174
German,PostDoc,gespräch,63,12,32,19,0.2754185531761438,0.4179336515565713,0.3066477977508117
German,PostDoc,glück,81,17,14,50,0.25176964511657934,0.2748436368541953,0.4733867244220074
German,PostDoc,grund,75,32,37,6,0.4520425460735957,0.3981858539581299,0.14977159050603703
German,PostDoc,hanna,253,81,132,40,0.3882047280286376,0.4052502415971205,0.20654503228106044
German,PostDoc,hochschule,269,84,169,16,0.3688215257316052,0.5123771372559346,0.11880133087057825
German,PostDoc,idee,82,26,37,19,0.3418211435172252,0.3804290894782398,0.2777497618027576
German,PostDoc,innovation,113,40,45,28,0.3731528566078802,0.4029381365342214,0.2239090073606477
German,PostDoc,interview,60,5,27,28,0.20889253624094026,0.4082939760759473,0.38281347981343666
German,PostDoc,jahr,894,249,555,90,0.3420411281358509,0.4809610150708615,0.1769978563630457
German,PostDoc,job,124,50,54,20,0.39510773536899396,0.38870755620601194,0.21618470635205023
German,PostDoc,karriere,187,55,114,18,0.35390798962689973,0.4751575304404459,0.17093448059503882
German,PostDoc,kind,173,73,88,12,0.45921555251916707,0.4064137803853592,0.13437067243039086
German,PostDoc,kollege,143,53,69,21,0.3767232246228031,0.44078456343418654,0.18249220803536315
German,PostDoc,kommentar,59,30,21,8,0.4467725682119697,0.37646363918685305,0.1767637936587808
