Category,Language,Aspect,Count,Negative,Neutral,Positive
PostDoc,English,dr davis,1,0,1,0
PostDoc,English,disney,1,0,1,0
PostDoc,English,discrimination,1,1,0,0
PostDoc,English,discipline,1,1,0,0
PostDoc,English,classic,1,1,0,0
PostDoc,English,checkout,1,1,0,0
PostDoc,English,charles,1,0,0,1
PostDoc,English,ann kathrin,1,0,1,0
PostDoc,English,all hanna,1,0,1,0
PostDoc,English,amazing,1,0,0,1
PostDoc,English,american way,1,0,0,1
PostDoc,English,amp,1,0,0,1
PostDoc,English,and family,1,1,0,0
PostDoc,English,ann christin,1,0,0,1
PostDoc,English,ann kathrin hoffmann,1,0,1,0
PostDoc,English,chair,1,0,1,0
PostDoc,English,apartments,1,0,0,1
PostDoc,English,are,1,1,0,0
PostDoc,English,area,1,0,1,0
PostDoc,English,argument,1,1,0,0
PostDoc,English,aspect,1,0,0,1
PostDoc,English,assistant professor,1,0,1,0
PostDoc,English,alexandra,1,0,1,0
PostDoc,English,alessandro pluchino,1,0,1,0
PostDoc,English,album,1,0,0,1
PostDoc,English,air,1,0,1,0
PostDoc,English,agree,1,0,0,1
PostDoc,English,administrator,1,1,0,0
PostDoc,English,administration,1,1,0,0
PostDoc,English,admin,1,1,0,0
PostDoc,English,addendum,1,0,1,0
PostDoc,English,activities,1,0,0,1
PostDoc,English,account,1,0,0,1
PostDoc,English,academic establishment,1,0,1,0
PostDoc,English,academic community,1,0,0,1
PostDoc,English,acadamia,1,1,0,0
PostDoc,English,about one s,1,1,0,0
PostDoc,English,about,1,0,1,0
PostDoc,English,a platform like,1,0,1,0
PostDoc,English,attitudes,1,1,0,0
PostDoc,English,austria,1,0,1,0
PostDoc,English,author,1,1,0,0
PostDoc,English,boomer,1,0,1,0
PostDoc,English,ceo,1,1,0,0
PostDoc,English,catherine,1,0,1,0
PostDoc,English,cat lady,1,1,0,0
PostDoc,English,case,1,0,1,0
PostDoc,English,carstensen,1,0,1,0
PostDoc,English,career path,1,1,0,0
PostDoc,English,care,1,0,1,0
PostDoc,English,car insurance,1,0,1,0
PostDoc,English,candy,1,0,0,1
PostDoc,English,burn out,1,1,0,0
PostDoc,English,bureaucracy,1,1,0,0
PostDoc,English,bum bum,1,0,0,1
PostDoc,English,breakfast,1,0,1,0
PostDoc,English,both resources,1,1,0,0
PostDoc,English,books at,1,0,0,1
PostDoc,English,background,1,0,0,1
PostDoc,English,books,1,0,0,1
PostDoc,English,bogazici,1,1,0,0
PostDoc,English,bodie,1,1,0,0
PostDoc,English,birthday,1,0,0,1
PostDoc,English,bigna,1,0,0,1
PostDoc,English,bias,1,1,0,0
PostDoc,English,berlin,1,1,0,0
PostDoc,English,bei maithink,1,1,0,0
PostDoc,English,beggars,1,1,0,0
PostDoc,English,beer,1,0,0,1
PostDoc,English,because,1,1,0,0
PostDoc,English,beauty,1,0,0,1
PostDoc,English,balance,1,0,0,1
PostDoc,English,badge,1,0,0,1
PostDoc,English,feldman,1,1,0,0
PostDoc,English,field,1,0,1,0
PostDoc,English,fight,1,0,0,1
PostDoc,English,labs,1,0,1,0
PostDoc,English,katia,1,0,0,1
PostDoc,English,ken libbrecht,1,0,0,1
PostDoc,English,keynote,1,0,0,1
PostDoc,English,koala,1,1,0,0
PostDoc,English,labor,1,1,0,0
PostDoc,English,labor conditions,1,1,0,0
PostDoc,English,late teaching dance classes,1,0,1,0
PostDoc,English,institutes,1,0,0,1
PostDoc,English,leaders,1,1,0,0
PostDoc,English,learning,1,0,1,0
PostDoc,English,lecturer,1,1,0,0
PostDoc,English,lectures,1,1,0,0
PostDoc,English,legislation,1,1,0,0
PostDoc,English,letters,1,0,1,0
PostDoc,English,kalender,1,0,1,0
PostDoc,English,journalist,1,1,0,0
PostDoc,English,johns,1,0,1,0
PostDoc,English,john k,1,0,1,0
PostDoc,English,jobs and,1,0,1,0
PostDoc,English,job security,1,0,1,0
PostDoc,English,job market,1,1,0,0
PostDoc,English,job description,1,0,0,1
PostDoc,English,job applications,1,0,1,0
PostDoc,English,jens,1,0,0,1
PostDoc,English,jeff,1,0,1,0
PostDoc,English,jeanne,1,0,1,0
PostDoc,English,it landet,1,0,0,1
PostDoc,English,issue,1,1,0,0
PostDoc,English,intervention,1,0,0,1
PostDoc,English,interesting insights,1,0,0,1
PostDoc,English,insurance,1,0,1,0
PostDoc,English,level,1,0,1,0
PostDoc,English,lifestyle,1,0,0,1
PostDoc,English,linda m,1,0,0,1
PostDoc,English,marveous guy,1,0,1,0
PostDoc,English,networks,1,0,1,0
PostDoc,English,network,1,0,0,1
PostDoc,English,nachwuchs,1,0,1,0
PostDoc,English,my,1,1,0,0
PostDoc,English,mouth,1,0,1,0
PostDoc,English,motivation,1,0,1,0
PostDoc,English,moment,1,1,0,0
PostDoc,English,models,1,0,1,0
PostDoc,English,mittelbau,1,1,0,0
PostDoc,English,missed,1,1,0,0
PostDoc,English,minister karliczek,1,1,0,0
PostDoc,English,measures,1,1,0,0
PostDoc,English,material,1,0,1,0
PostDoc,English,mass media,1,1,0,0
PostDoc,English,martin,1,0,1,0
PostDoc,English,live,1,0,0,1
PostDoc,English,margins,1,1,0,0
PostDoc,English,marc bloch,1,0,1,0
PostDoc,English,manpower,1,1,0,0
PostDoc,English,managers,1,1,0,0
PostDoc,English,management,1,1,0,0
PostDoc,English,man,1,1,0,0
PostDoc,English,ma,1,0,1,0
PostDoc,English,lyrics,1,0,0,1
PostDoc,English,lunch,1,0,1,0
PostDoc,English,luck,1,0,0,1
PostDoc,English,low pay,1,1,0,0
PostDoc,English,lobbyism,1,1,0,0
PostDoc,English,a discipline,1,1,0,0
PostDoc,English,living,1,1,0,0
PostDoc,English,instructor,1,1,0,0
PostDoc,English,innovation,1,0,0,1
PostDoc,English,fill,1,0,1,0
PostDoc,English,german sonderweg,1,1,0,0
PostDoc,English,gap,1,1,0,0
PostDoc,English,gateway,1,0,1,0
PostDoc,English,gender,1,0,1,0
PostDoc,English,general meeting,1,0,1,0
PostDoc,English,german hashtag,1,0,1,0
PostDoc,English,german pension,1,0,1,0
PostDoc,English,gerne,1,1,0,0
PostDoc,English,initiators,1,1,0,0
PostDoc,English,get,1,0,1,0
PostDoc,English,gew,1,1,0,0
PostDoc,English,gew meeting,1,0,1,0
PostDoc,English,girls,1,0,1,0
PostDoc,English,gisela romain,1,0,1,0
PostDoc,English,global south,1,0,1,0
PostDoc,English,game,1,1,0,0
PostDoc,English,full professors,1,1,0,0
PostDoc,English,fu berlin,1,1,0,0
PostDoc,English,fresh,1,0,0,1
PostDoc,English,free time,1,0,1,0
PostDoc,English,foundation,1,1,0,0
PostDoc,English,forum,1,0,1,0
PostDoc,English,for any,1,0,0,1
PostDoc,English,for,1,0,1,0
PostDoc,English,followers,1,0,0,1
PostDoc,English,follow up,1,0,0,1
PostDoc,English,fixed it,1,1,0,0
PostDoc,English,fishy,1,1,0,0
PostDoc,English,fishing,1,1,0,0
PostDoc,English,fire protection,1,1,0,0
PostDoc,English,financing,1,1,0,0
PostDoc,English,filter,1,0,1,0
PostDoc,English,gloomy arbeitsagentur,1,1,0,0
PostDoc,English,gosh,1,1,0,0
PostDoc,English,gov of berlin,1,1,0,0
PostDoc,English,history,1,0,1,0
PostDoc,English,initiative,1,0,0,1
PostDoc,English,income,1,0,1,0
PostDoc,English,including,1,0,0,1
PostDoc,English,incentives,1,1,0,0
PostDoc,English,in grant,1,1,0,0
PostDoc,English,in germany,1,0,1,0
PostDoc,English,important,1,0,0,1
PostDoc,English,illustration,1,0,0,1
PostDoc,English,idea,1,0,0,1
PostDoc,English,hrk,1,1,0,0
PostDoc,English,house,1,1,0,0
PostDoc,English,hourly paid,1,1,0,0
PostDoc,English,hop,1,1,0,0
PostDoc,English,holiday,1,0,0,1
PostDoc,English,hiring,1,1,0,0
PostDoc,English,government,1,1,0,0
PostDoc,English,hire,1,0,1,0
PostDoc,English,higher education,1,1,0,0
PostDoc,English,higher ed systems,1,1,0,0
PostDoc,English,heinz maier leibnitz,1,0,1,0
PostDoc,English,hei,1,1,0,0
PostDoc,English,he,1,0,1,0
PostDoc,English,have stickers,1,0,1,0
PostDoc,English,have,1,0,1,0
PostDoc,English,harold laski,1,0,1,0
PostDoc,English,hannas,1,0,1,0
PostDoc,English,hanin,1,1,0,0
PostDoc,English,gregor mendel,1,0,1,0
PostDoc,English,grant,1,1,0,0
PostDoc,English,grafik,1,1,0,0
