Language,Category,Aspect,Count,Negative,Neutral,Positive,Negative_Probability,Neutral_Probability,Positive_Probability,Aspect_Category
German,Professor,gesellschaft,59,23,31,5,0.398488628093974,0.4384685512316429,0.1630428210847963,gesellschaft
German,Unknown,gesellschaft,74,43,27,4,0.4994043385660326,0.3868419592948379,0.1137536977216399,gesellschaft
German,Others,gesetz,78,27,47,4,0.3848675378622153,0.4829854000932895,0.1321470605997511,politik
German,PostDoc,gesetz,77,29,44,4,0.4500008070139916,0.4437377262473493,0.1062614658436217,politik
German,Professor,gesetz,64,28,33,3,0.4739482229342684,0.4187231297255493,0.1073286445607663,politik
German,Unknown,gesetz,58,31,26,1,0.5052182003213413,0.4092799041034846,0.0855018957999759,politik
German,Others,grund,70,31,31,8,0.4511472453496286,0.3934551880295787,0.1553975632680313,chance
German,PostDoc,grund,75,32,37,6,0.4520425460735957,0.3981858539581299,0.149771590506037,chance
German,Professor,grund,80,42,28,10,0.5099526426754892,0.3464449944440275,0.1436023562215268,chance
German,Unknown,grund,64,33,29,2,0.5084089743322693,0.3728720337094273,0.1187189926276914,chance
German,Others,hanna,196,57,112,27,0.3554364057181745,0.4469961211161345,0.1975674770620404,hanna
German,PhD Student,hanna,61,21,28,12,0.3511517806528288,0.4343721702328471,0.2144760477860442,hanna
German,PostDoc,hanna,253,81,132,40,0.3882047280286376,0.4052502415971205,0.2065450322810604,hanna
German,Professor,hanna,229,90,109,30,0.4154366601307319,0.405655769248977,0.178907574723804,hanna
German,Unknown,hanna,187,76,80,31,0.4092080195280001,0.3859352786492377,0.2048566992180471,hanna
German,Others,hochschule,384,104,259,21,0.3487039171741344,0.5296855538229769,0.1216105277489986,hochschule
German,PhD Student,hochschule,71,38,27,6,0.4830248662283722,0.3811391934122837,0.1358359400576478,hochschule
German,PostDoc,hochschule,269,84,169,16,0.3688215257316052,0.5123771372559346,0.1188013308705782,hochschule
German,Professor,hochschule,241,103,128,10,0.4274926515319288,0.4662586273896001,0.1062487197529786,hochschule
German,Unknown,hochschule,147,47,93,7,0.3861340375325712,0.4972156496579144,0.1166503109468691,hochschule
German,Others,idee,84,22,33,29,0.2951157105133114,0.3562480918176117,0.3486361921476643,perspektive
German,PostDoc,idee,82,26,37,19,0.3418211435172252,0.3804290894782398,0.2777497618027576,perspektive
German,Professor,idee,72,22,30,20,0.3662132570106122,0.3578600985929369,0.2759266479406505,perspektive
German,Others,innovation,62,14,29,19,0.3279254539238829,0.4016467155888676,0.270427822916498,nachwuchs
